noc_title,exposed_to_disease_infections,median_hourly_wage,physical_proximity,pop,occupation_type
7333 Electrical mechanics,0.255,30,0.5975,1025,Other
6621 Service station attendants,0.035,14.25,0.6,3115,Sales & Service
1525 Dispatchers,0.11,23.5,0.6,11260,Other
7235 Structural metal and platework fabricators and fitters,0.06,23,0.6,1530,Other
9612 Labourers in metal fabrication,0.06,16,0.6,5900,Other
2232 Mechanical engineering technologists and technicians,0.0375,32,0.6025,5965,Other
"7284 Plasterers, drywall installers and finishers and lathers",0.055,34,0.6075,9905,Other
"1251 Court reporters, medical transcriptionists and related occupations",0.1275,24.19,0.61,3010,Other
4012 Post-secondary teaching and research assistants,0.06,24.63,0.6125,750,Other
7282 Concrete finishers,0.03,30.8,0.6125,3040,Other
"9414 Concrete, clay and stone forming operators",0.03,21,0.6125,1765,Other
6345 Upholsterers,0.0225,18.88,0.615,960,Sales & Service
5211 Library and public archive technicians,0.1625,26,0.615,145,Other
1114 Other financial officers,0.1775,32.82,0.6225,45385,Other
1411 General office support workers,0.1775,19,0.6225,68365,Other
1416 Court clerks,0.1325,23.8,0.6225,865,Other
"1434 Banking, insurance and other financial clerks",0.1775,20,0.6225,10430,Other
4151 Psychologists,0.5675,40,0.6225,6110,Other
7246 Telecommunications installation and repair workers,0.215,28.45,0.6225,3395,Other
9446 Industrial sewing machine operators,0,15,0.6225,5005,Other
9413 Glass forming and finishing machine operators and glass cutters,0.04,17,0.625,1265,Other
0822 Managers in horticulture,0.0375,18.79,0.63,245,Other
2263 Inspectors in public and environmental health and occupational health and safety,0.2725,40.02,0.63,6345,Other
7362 Railway conductors and brakemen/women,0.15,34,0.63,680,Other
6525 Hotel front desk clerks,0.025,15.8,0.635,5480,Sales & Service
2262 Engineering inspectors and regulatory officers,0.1075,34.87,0.635,1045,Other
2264 Construction inspectors,0.1075,32.69,0.635,2785,Other
7245 Telecommunications line and cable workers,0.335,27.5,0.635,2050,Other
7441 Residential and commercial installers and servicers,0.015,20,0.635,16100,Other
2282 User support technicians,0.075,30.29,0.6375,13180,Other
7294 Painters and decorators (except interior decorators),0.035,20,0.6375,15425,Other
9421 Chemical plant machine operators,0.075,19.19,0.6375,3995,Other
"9536 Industrial painters, coaters and metal finishing process operators",0.035,21.8,0.6375,5895,Other
"5131 Producers, directors, choreographers and related occupations",0.015,33.65,0.64,3530,Other
7318 Elevator constructors and mechanics,0.495,43.75,0.64,2045,Other
6346 Funeral directors and embalmers,0.8275,19,0.6425,1530,Sales & Service
7283 Tilesetters,0.1175,34.25,0.6425,3770,Other
1521 Shippers and receivers,0.045,18.5,0.645,31885,Other
2261 Non-destructive testers and inspection technicians,0.0375,32.82,0.645,775,Other
"7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0.005,34,0.645,3270,Other
"7303 Supervisors, printing and related occupations",0.005,28.85,0.645,215,Other
7534 Air transport ramp attendants,0.035,22,0.645,3610,Other
"9211 Supervisors, mineral and metal processing",0.005,25.64,0.645,1985,Other
